datetime,open,high,low,close,volume,openinterest
2018-11-06 18:00:00,274.4,274.76,273.92,274.39,49147,24454
2018-11-06 19:00:00,274.42,274.99,274.25,274.71,39980,19657
2018-11-06 20:00:00,274.72,274.91,274.52,274.72,27712,14928
2018-11-06 21:00:00,274.71,274.74,273.45,273.96,77612,38162
2018-11-06 22:00:00,273.96,275.3,273.74,275.1,147126,59220
2018-11-07 16:30:00,277.56,278.4,277.37,277.41,101847,47316
2018-11-07 17:00:00,277.4,278.92,277.08,278.56,119475,58503
2018-11-07 18:00:00,278.56,279.43,278.36,279.38,76645,39732
2018-11-07 19:00:00,279.39,279.63,279.09,279.53,56874,27432
2018-11-07 20:00:00,279.54,279.76,279.0,279.24,49144,26062
2018-11-07 21:00:00,279.24,280.41,279.21,280.07,93842,45006
2018-11-07 22:00:00,280.07,281.1,280.01,280.92,230002,83203
2018-11-08 16:30:00,280.14,280.99,280.07,280.9,68928,33047
2018-11-08 17:00:00,280.9,281.0,280.14,280.72,70268,35464
2018-11-08 18:00:00,280.72,281.14,280.41,280.94,41230,20853
2018-11-08 19:00:00,280.94,281.22,280.61,280.63,34857,17148
2018-11-08 20:00:00,280.64,280.76,280.09,280.5,40014,20853
2018-11-08 21:00:00,280.5,280.92,279.22,279.84,108067,51963
2018-11-08 22:00:00,279.84,280.44,279.34,280.43,130452,59918
2018-11-09 16:30:00,279.03,279.24,278.11,278.43,75294,34797
2018-11-09 17:00:00,278.43,278.66,277.53,277.96,105086,54093
2018-11-09 18:00:00,277.97,278.31,276.98,277.14,76949,38591
2018-11-09 19:00:00,277.14,277.76,276.81,277.29,76126,37040
2018-11-09 20:00:00,277.29,277.45,276.52,276.74,66489,31573
2018-11-09 21:00:00,276.73,277.99,276.18,277.57,95170,45018
2018-11-09 22:00:00,277.56,278.83,277.41,277.84,210532,86794
2018-11-12 16:30:00,277.15,277.46,275.55,275.61,70744,32242
2018-11-12 17:00:00,275.61,275.94,274.42,274.49,104803,53033
2018-11-12 18:00:00,274.49,274.57,273.01,274.08,124065,59357
2018-11-12 19:00:00,274.07,274.64,273.69,273.69,62502,33414
2018-11-12 20:00:00,273.69,274.37,273.01,273.97,73368,37745
2018-11-12 21:00:00,273.96,274.94,273.6,273.67,90263,45975
2018-11-12 22:00:00,273.67,274.16,271.99,272.49,261034,119022
2018-11-13 16:30:00,273.06,274.13,273.04,273.28,81505,40275
2018-11-13 17:00:00,273.29,273.82,271.73,273.41,158906,79290
2018-11-13 18:00:00,273.38,275.33,273.28,274.24,108507,56624
2018-11-13 19:00:00,274.24,274.65,272.96,273.12,67611,37710
2018-11-13 20:00:00,273.12,273.86,272.54,273.09,69612,40668
2018-11-13 21:00:00,273.09,273.24,271.39,272.05,102622,50837
2018-11-13 22:00:00,272.07,272.88,271.25,272.06,199667,99552
2018-11-14 16:30:00,274.14,274.61,273.6,274.04,68377,35211
2018-11-14 17:00:00,274.05,274.09,272.05,272.33,108471,56608
2018-11-14 18:00:00,272.33,272.34,270.35,271.37,146597,76020
2018-11-14 19:00:00,271.38,271.68,270.05,270.24,116804,59362
2018-11-14 20:00:00,270.23,270.77,269.0,269.51,112066,55677
2018-11-14 21:00:00,269.5,271.5,268.45,271.36,164700,78478
2018-11-14 22:00:00,271.36,272.14,269.53,270.14,238561,105726
2018-11-15 16:30:00,268.78,269.68,267.66,268.59,112213,54082
2018-11-15 17:00:00,268.61,269.24,267.01,268.54,158324,81065
2018-11-15 18:00:00,268.52,270.77,268.31,270.42,132067,69657
2018-11-15 19:00:00,270.42,270.95,269.47,269.68,84333,40241
2018-11-15 20:00:00,269.68,272.71,269.06,272.45,172857,83496
2018-11-15 21:00:00,272.45,273.54,271.96,272.66,112267,54630
2018-11-15 22:00:00,272.66,273.09,271.03,273.04,247498,117356
2018-11-16 16:30:00,271.79,272.81,271.21,272.72,105129,51035
2018-11-16 17:00:00,272.69,273.95,272.26,273.23,112184,55014
2018-11-16 18:00:00,273.24,273.41,272.05,272.35,76580,40955
2018-11-16 19:00:00,272.36,274.75,271.85,273.86,139297,66815
2018-11-16 20:00:00,273.87,274.02,272.35,272.86,79284,41496
2018-11-16 21:00:00,272.86,273.92,272.68,273.83,79450,40371
2018-11-16 22:00:00,273.83,274.39,273.41,273.68,196182,76844
2018-11-19 16:30:00,273.05,273.38,272.12,272.55,61568,28558
2018-11-19 17:00:00,272.53,272.55,270.55,271.59,108961,56464
2018-11-19 18:00:00,271.59,271.79,269.08,269.51,96752,50175
2018-11-19 19:00:00,269.5,269.76,266.74,269.54,109629,52792
2018-11-19 20:00:00,269.54,269.76,268.3,268.71,81650,45025
2018-11-19 21:00:00,268.72,269.66,268.07,269.47,126951,64540
2018-11-19 22:00:00,269.46,270.25,268.31,269.12,189977,84120
2018-11-20 16:30:00,265.37,266.09,264.04,264.62,165503,83125
2018-11-20 17:00:00,264.62,266.8,263.32,266.61,214961,106460
2018-11-20 18:00:00,266.63,266.79,264.83,266.28,114060,59935
2018-11-20 19:00:00,266.27,267.0,265.12,265.2,88336,45831
2018-11-20 20:00:00,265.2,265.51,264.28,264.36,87899,43702
2018-11-20 21:00:00,264.37,265.25,263.76,264.17,109003,51923
2018-11-20 22:00:00,264.17,265.06,263.15,264.18,248044,111338
2018-11-21 16:30:00,265.86,266.29,265.12,266.09,81137,38052
2018-11-21 17:00:00,266.1,266.65,265.65,266.17,93181,50463
2018-11-21 18:00:00,266.18,267.15,265.91,266.77,81116,42252
2018-11-21 19:00:00,266.79,266.89,266.26,266.85,39386,20964
2018-11-21 20:00:00,266.85,266.93,266.34,266.59,33439,18200
2018-11-21 21:00:00,266.59,266.71,266.18,266.25,38654,20652
2018-11-21 22:00:00,266.25,266.71,265.01,265.08,154960,67612
2018-11-23 16:30:00,263.18,264.35,263.07,264.11,59323,29342
2018-11-23 17:00:00,264.1,264.41,263.43,264.17,63708,32791
2018-11-23 18:00:00,264.17,264.83,263.69,263.75,57307,27955
2018-11-23 19:00:00,263.74,264.3,263.24,263.36,112192,47786
2018-11-26 16:30:00,265.78,267.17,265.64,267.16,78542,36780
2018-11-26 17:00:00,267.18,267.25,266.31,267.05,102419,47242
2018-11-26 18:00:00,267.06,267.1,265.92,266.4,74443,33756
2018-11-26 19:00:00,266.4,266.8,265.34,265.84,62071,28828
2018-11-26 20:00:00,265.82,266.71,265.54,266.65,46031,21596
2018-11-26 21:00:00,266.64,267.47,266.49,267.37,58095,27427
2018-11-26 22:00:00,267.37,267.75,266.91,267.45,139628,56629
2018-11-27 16:30:00,266.34,266.92,265.66,266.6,68442,32476
2018-11-27 17:00:00,266.6,267.87,266.15,267.47,88532,43930
2018-11-27 18:00:00,267.47,268.03,267.02,267.63,88923,38097
2018-11-27 19:00:00,267.64,267.71,266.5,266.84,56395,28237
2018-11-27 20:00:00,266.83,267.72,266.53,267.72,82855,40412
2018-11-27 21:00:00,267.72,268.18,267.59,267.79,53067,26444
2018-11-27 22:00:00,267.78,268.37,267.53,268.34,127646,51114
2018-11-28 16:30:00,269.6,269.91,269.18,269.34,67894,33158
2018-11-28 17:00:00,269.33,269.66,268.53,269.01,91215,41627
2018-11-28 18:00:00,269.01,269.75,268.96,269.64,92908,44811
2018-11-28 19:00:00,269.63,272.83,269.61,272.34,248428,123938
2018-11-28 20:00:00,272.33,273.49,271.85,273.3,140973,57443
2018-11-28 21:00:00,273.3,273.58,272.77,272.81,100944,46780
2018-11-28 22:00:00,272.82,274.55,272.54,274.5,219699,79634
2018-11-29 16:30:00,273.71,274.02,273.46,273.64,57919,25838
2018-11-29 17:00:00,273.63,274.12,272.43,272.79,127674,64143
2018-11-29 18:00:00,272.79,274.0,272.57,273.92,111924,56909
2018-11-29 19:00:00,273.92,274.32,273.41,274.26,49227,25397
2018-11-29 20:00:00,274.26,274.45,273.82,274.15,43701,21909
2018-11-29 21:00:00,274.17,275.54,273.92,275.49,89617,40692
2018-11-29 22:00:00,275.49,275.55,273.83,273.95,166108,70464
2018-11-30 16:30:00,273.81,274.26,273.45,274.18,49336,22629
2018-11-30 17:00:00,274.19,274.98,273.94,274.47,68330,34442
2018-11-30 18:00:00,274.46,274.69,273.73,274.53,66114,33984
2018-11-30 19:00:00,274.53,274.59,274.05,274.07,37668,19638
2018-11-30 20:00:00,274.08,275.33,273.85,275.19,72308,32330
2018-11-30 21:00:00,275.19,275.5,274.96,275.27,81037,35651
2018-11-30 22:00:00,275.26,276.28,275.19,275.75,215259,77577
2018-12-03 16:30:00,280.26,280.4,278.63,278.92,107466,47167
2018-12-03 17:00:00,278.92,279.76,278.03,278.17,145715,70745
2018-12-03 18:00:00,278.17,278.7,277.5,277.68,108838,55538
2018-12-03 19:00:00,277.69,279.02,277.67,278.51,61580,30564
2018-12-03 20:00:00,278.51,279.22,277.99,278.29,79070,36722
2018-12-03 21:00:00,278.3,278.92,277.65,278.6,88941,39414
2018-12-03 22:00:00,278.6,279.47,278.23,279.25,191513,83632
2018-12-04 16:30:00,278.37,278.85,277.34,277.75,80972,35077
2018-12-04 17:00:00,277.76,277.98,277.09,277.23,100442,48127
2018-12-04 18:00:00,277.24,277.6,276.41,276.45,93076,44089
2018-12-04 19:00:00,276.44,276.45,272.25,272.99,312133,160114
2018-12-04 20:00:00,272.96,273.23,270.38,272.24,221525,114183
2018-12-04 21:00:00,272.24,273.35,271.62,272.3,169024,86551
2018-12-04 22:00:00,272.31,272.33,269.9,270.4,405277,193058
2018-12-06 16:30:00,265.92,267.15,264.62,265.07,190305,94146
2018-12-06 17:00:00,265.07,266.13,264.06,264.27,231274,133934
